,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,9517000000.0,10113000000.0,9738000000.0,8972000000.0,
Repurchase Of Capital Stock,-792000000.0,-110000000.0,-2092000000.0,-82000000.0,
Repayment Of Debt,-4826000000.0,-6769000000.0,-3044000000.0,-4843000000.0,
Issuance Of Debt,2404000000.0,5134000000.0,3267000000.0,2659000000.0,
Capital Expenditure,-608000000.0,-601000000.0,-656000000.0,-745000000.0,
End Cash Position,5104000000.0,4517000000.0,3337000000.0,2463000000.0,
Other Cash Adjustment Outside Changein Cash,,368000000.0,-368000000.0,,
Beginning Cash Position,4517000000.0,3337000000.0,2463000000.0,2888000000.0,
Effect Of Exchange Rate Changes,-281000000.0,-292000000.0,431000000.0,-253000000.0,
Changes In Cash,868000000.0,1104000000.0,811000000.0,-172000000.0,
Financing Cash Flow,-10632000000.0,-9314000000.0,-8878000000.0,-8749000000.0,
Net Other Financing Charges,-123000000.0,-476000000.0,-112000000.0,233000000.0,
Interest Paid Cff,-1796000000.0,-1771000000.0,-1663000000.0,-1508000000.0,
Cash Dividends Paid,-5213000000.0,-5055000000.0,-4915000000.0,-4904000000.0,
Common Stock Dividend Paid,-5213000000.0,-5055000000.0,-4915000000.0,-4904000000.0,
Net Common Stock Issuance,-792000000.0,-110000000.0,-2092000000.0,-82000000.0,
Common Stock Payments,-792000000.0,-110000000.0,-2092000000.0,-82000000.0,
Net Issuance Payments Of Debt,-2422000000.0,-1635000000.0,223000000.0,-2184000000.0,
Net Long Term Debt Issuance,-2422000000.0,-1635000000.0,223000000.0,-2184000000.0,
Long Term Debt Payments,-4826000000.0,-6769000000.0,-3044000000.0,-4843000000.0,
Long Term Debt Issuance,2404000000.0,5134000000.0,3267000000.0,2659000000.0,
Investing Cash Flow,1375000000.0,-296000000.0,-705000000.0,-1140000000.0,
Interest Received Cfi,187000000.0,145000000.0,85000000.0,33000000.0,
Net Investment Purchase And Sale,83000000.0,-43000000.0,-129000000.0,-228000000.0,
Sale Of Investment,299000000.0,405000000.0,128000000.0,141000000.0,
Purchase Of Investment,-216000000.0,-448000000.0,-257000000.0,-369000000.0,
Net Business Purchase And Sale,1529000000.0,122000000.0,-39000000.0,-231000000.0,
Sale Of Business,1577000000.0,159000000.0,0.0,,39000000.0
Purchase Of Business,-48000000.0,-37000000.0,-39000000.0,-231000000.0,
Net Intangibles Purchase And Sale,-83000000.0,-114000000.0,-130000000.0,-218000000.0,
Sale Of Intangibles,39000000.0,27000000.0,3000000.0,0.0,
Purchase Of Intangibles,-122000000.0,-141000000.0,-133000000.0,-218000000.0,
Net PPE Purchase And Sale,-341000000.0,-406000000.0,-492000000.0,-496000000.0,
Sale Of PPE,145000000.0,54000000.0,31000000.0,31000000.0,
Purchase Of PPE,-486000000.0,-460000000.0,-523000000.0,-527000000.0,
Operating Cash Flow,10125000000.0,10714000000.0,10394000000.0,9717000000.0,
Taxes Refund Paid,-1854000000.0,-2622000000.0,-2537000000.0,-2314000000.0,
Dividend Received Cfo,406000000.0,506000000.0,394000000.0,353000000.0,
Change In Working Capital,5776000000.0,-469000000.0,103000000.0,-62000000.0,
Change In Other Current Assets,,,,,-96000000.0
Change In Payable,-236000000.0,353000000.0,-142000000.0,147000000.0,
Change In Inventory,35000000.0,265000000.0,-246000000.0,433000000.0,
Change In Receivables,-269000000.0,-487000000.0,-42000000.0,-393000000.0,
Other Non Cash Items,1058000000.0,2185000000.0,2198000000.0,1919000000.0,
Deferred Tax,357000000.0,-2872000000.0,2478000000.0,2189000000.0,
Depreciation And Amortization,3101000000.0,24000000000.0,1305000000.0,1019000000.0,
Amortization Cash Flow,,23357000000.0,459000000.0,462000000.0,489000000.0
Depreciation,3101000000.0,643000000.0,846000000.0,557000000.0,
Gain Loss On Investment Securities,,595000000.0,-475000000.0,276000000.0,-217000000.0
Net Foreign Currency Exchange Gain Loss,,-449000000.0,524000000.0,-279000000.0,205000000.0
Net Income From Continuing Operations,3181000000.0,-14189000000.0,6846000000.0,6974000000.0,
