,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,236104000.0,216149000.0,280364000.0,307863000.0
Repurchase Of Capital Stock,-80042000.0,-19562000.0,-160950000.0,-43178000.0
Repayment Of Debt,-256000000.0,-525661000.0,-175500000.0,-271500000.0
Issuance Of Debt,225000000.0,619661000.0,90000000.0,256000000.0
Capital Expenditure,-62877000.0,-38244000.0,-44908000.0,-44301000.0
Interest Paid Supplemental Data,14502000.0,8368000.0,11027000.0,13576000.0
Income Tax Paid Supplemental Data,65254000.0,88428000.0,30341000.0,20952000.0
End Cash Position,151791000.0,180571000.0,172567000.0,199091000.0
Beginning Cash Position,180571000.0,172567000.0,199091000.0,146625000.0
Effect Of Exchange Rate Changes,-2333000.0,-3356000.0,-12092000.0,6369000.0
Changes In Cash,-26447000.0,11360000.0,-14432000.0,46097000.0
Financing Cash Flow,-122398000.0,22616000.0,-242853000.0,-62551000.0
Cash Flow From Continuing Financing Activities,-122398000.0,22616000.0,-242853000.0,-62551000.0
Net Other Financing Charges,-21872000.0,-31350000.0,-23373000.0,-19343000.0
Proceeds From Stock Option Exercised,60935000.0,29813000.0,77155000.0,65092000.0
Cash Dividends Paid,-50419000.0,-50285000.0,-50185000.0,-49622000.0
Common Stock Dividend Paid,-50419000.0,-50285000.0,-50185000.0,-49622000.0
Net Common Stock Issuance,-80042000.0,-19562000.0,-160950000.0,-43178000.0
Common Stock Payments,-80042000.0,-19562000.0,-160950000.0,-43178000.0
Net Issuance Payments Of Debt,-31000000.0,94000000.0,-85500000.0,-15500000.0
Net Short Term Debt Issuance,,619661000.0,-85500000.0,256000000.0
Short Term Debt Payments,,,-175500000.0,-271500000.0
Short Term Debt Issuance,,619661000.0,90000000.0,256000000.0
Net Long Term Debt Issuance,-31000000.0,94000000.0,-85500000.0,-271500000.0
Long Term Debt Payments,-256000000.0,-525661000.0,-175500000.0,-271500000.0
Long Term Debt Issuance,225000000.0,619661000.0,90000000.0,
Investing Cash Flow,-203030000.0,-265649000.0,-96851000.0,-243516000.0
Cash Flow From Continuing Investing Activities,-203030000.0,-265649000.0,-96851000.0,-243516000.0
Dividends Received Cfi,6997000.0,-232000000.0,0.0,
Net Investment Purchase And Sale,22557000.0,87955000.0,-51943000.0,26693000.0
Sale Of Investment,28083000.0,108455000.0,26055000.0,66377000.0
Purchase Of Investment,-5526000.0,-20500000.0,-77998000.0,-39684000.0
Net Business Purchase And Sale,-169707000.0,-83360000.0,0.0,-225908000.0
Sale Of Business,0.0,17824000.0,0.0,0.0
Purchase Of Business,-169707000.0,-101184000.0,0.0,-225908000.0
Net PPE Purchase And Sale,-62877000.0,-38244000.0,-44908000.0,-44301000.0
Purchase Of PPE,-62877000.0,-38244000.0,-44908000.0,-44301000.0
Operating Cash Flow,298981000.0,254393000.0,325272000.0,352164000.0
Cash Flow From Continuing Operating Activities,298981000.0,254393000.0,325272000.0,352164000.0
Change In Working Capital,-10106000.0,-90577000.0,-69517000.0,29263000.0
Change In Payables And Accrued Expense,27788000.0,-34958000.0,23168000.0,53053000.0
Change In Accrued Expense,12618000.0,-24558000.0,7760000.0,20536000.0
Change In Payable,15170000.0,-10400000.0,15408000.0,32517000.0
Change In Account Payable,25769000.0,-7908000.0,12741000.0,19091000.0
Change In Tax Payable,-10599000.0,-2492000.0,2667000.0,13426000.0
Change In Income Tax Payable,-10599000.0,-2492000.0,2667000.0,13426000.0
Change In Prepaid Assets,-3146000.0,-4585000.0,-3082000.0,-1101000.0
Change In Inventory,-14215000.0,-30167000.0,-32007000.0,-7140000.0
Change In Receivables,-20533000.0,-20867000.0,-57596000.0,-15549000.0
Other Non Cash Items,-479000.0,-9186000.0,-22637000.0,6139000.0
Stock Based Compensation,38042000.0,39230000.0,42183000.0,48982000.0
Unrealized Gain Loss On Investment Securities,-283000.0,-472000.0,-15002000.0,67879000.0
Asset Impairment Charge,24597000.0,0.0,19261000.0,0.0
Deferred Tax,-39447000.0,-29567000.0,6816000.0,-27431000.0
Deferred Income Tax,-39447000.0,-29567000.0,6816000.0,-27431000.0
Depreciation Amortization Depletion,111711000.0,107238000.0,101069000.0,87747000.0
Depreciation And Amortization,111711000.0,107238000.0,101069000.0,87747000.0
Operating Gains Losses,6841000.0,-47715000.0,,1565000.0
Earnings Losses From Equity Investments,6841000.0,1143000.0,0.0,0.0
Gain Loss On Investment Securities,,-37176000.0,,
Gain Loss On Sale Of Business,0.0,-11682000.0,0.0,0.0
Net Income From Continuing Operations,168105000.0,285442000.0,263099000.0,139585000.0
