,2024-11-30,2023-11-30,2022-11-30,2021-11-30,2020-11-30
Free Cash Flow,-12642000.0,-7786000.0,-12371000.0,-9863000.0,
End Cash Position,42224000.0,45749000.0,63882000.0,91124000.0,
Beginning Cash Position,45749000.0,63882000.0,91124000.0,60906000.0,
Effect Of Exchange Rate Changes,-64000.0,-19000.0,-387000.0,420000.0,
Changes In Cash,-3461000.0,-18114000.0,-26855000.0,29798000.0,
Financing Cash Flow,-174000.0,0.0,-2122000.0,-731000.0,
Cash Flow From Continuing Financing Activities,-174000.0,0.0,-2122000.0,-731000.0,
Net Other Financing Charges,-174000.0,,-2122000.0,-731000.0,-1652000.0
Investing Cash Flow,9355000.0,-10328000.0,-12362000.0,40392000.0,
Cash From Discontinued Investing Activities,,,,,0.0
Cash Flow From Continuing Investing Activities,9355000.0,-10328000.0,-12362000.0,40392000.0,
Net Other Investing Changes,59000.0,24868000.0,73000.0,75000000.0,
Net Investment Purchase And Sale,21000000.0,-18000000.0,16000000.0,-17221000.0,
Sale Of Investment,140000000.0,148000000.0,148000000.0,141578000.0,
Purchase Of Investment,-119000000.0,-166000000.0,-132000000.0,-158799000.0,
Net Business Purchase And Sale,-12447000.0,-17752000.0,-28435000.0,-17587000.0,
Purchase Of Business,-12447000.0,-17752000.0,-28435000.0,-17587000.0,
Net PPE Purchase And Sale,743000.0,556000.0,0.0,200000.0,
Sale Of PPE,743000.0,556000.0,0.0,200000.0,
Operating Cash Flow,-12642000.0,-7786000.0,-12371000.0,-9863000.0,
Cash Flow From Continuing Operating Activities,-12642000.0,-7786000.0,-12371000.0,-9863000.0,
Change In Working Capital,368000.0,-535000.0,-2056000.0,1784000.0,
Change In Other Working Capital,-157000.0,-1435000.0,-130000.0,,
Change In Other Current Assets,-100000.0,694000.0,-1962000.0,1605000.0,
Change In Payables And Accrued Expense,625000.0,206000.0,36000.0,179000.0,
Change In Accrued Expense,-309000.0,268000.0,-92000.0,419000.0,
Change In Payable,934000.0,-62000.0,128000.0,-240000.0,
Change In Account Payable,708000.0,-62000.0,128000.0,-240000.0,
Change In Tax Payable,226000.0,0.0,0.0,,
Change In Income Tax Payable,226000.0,0.0,0.0,,
Other Non Cash Items,15148000.0,13074000.0,7435000.0,4311000.0,
Stock Based Compensation,7237000.0,8731000.0,8214000.0,8235000.0,
Unrealized Gain Loss On Investment Securities,-1436000.0,-269000.0,-189000.0,-418000.0,
Deferred Tax,,,0.0,0.0,-751000.0
Deferred Income Tax,,,0.0,0.0,-751000.0
Depreciation Amortization Depletion,,,,938000.0,0.0
Depreciation And Amortization,,,,938000.0,0.0
Depreciation,,,,938000.0,0.0
Operating Gains Losses,11662000.0,18016000.0,27568000.0,16761000.0,
Earnings Losses From Equity Investments,12921000.0,18529000.0,28163000.0,16625000.0,
Net Foreign Currency Exchange Gain Loss,-516000.0,43000.0,-595000.0,336000.0,
Gain Loss On Sale Of PPE,-743000.0,-556000.0,0.0,-200000.0,
Net Income From Continuing Operations,-45621000.0,-46803000.0,-53343000.0,-40536000.0,
